# Constructed from biom file
#OTU ID	chepang1	chepang2	chepang3	hadza1	hadza2	hadza3	mephaa1	mephaa2	mephaa3
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__[Eubacterium]	0.0	33.0	0.0	57.0	0.0	45.0	60.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Tractidigestivibacter	0.0	0.0	0.0	30.0	58.0	0.0	0.0	0.0	0.0
k__Bacteria;__;__;__;__;__	19.0	22.0	8.0	32.0	14.0	120.0	11.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Novisyntrophococcus	0.0	0.0	17.0	0.0	0.0	0.0	85.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Pseudoprevotella	0.0	52.0	0.0	0.0	0.0	0.0	30.0	4.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Elusimicrobium	0.0	51.0	0.0	0.0	0.0	0.0	0.0	46.0	35.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;__	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Acetobacteroides	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales;g__Anaerotalea	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	28.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Fournierella	0.0	0.0	0.0	0.0	0.0	12.0	0.0	27.0	36.0
k__Bacteria;p__Firmicutes;c__Clostridia;__;__;__	0.0	0.0	0.0	125.0	0.0	0.0	13.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Senegalimassilia	0.0	0.0	0.0	9.0	18.0	36.0	5.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Kandleria	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XII. Incertae Sedis;g__Guggenheimella	0.0	0.0	0.0	0.0	30.0	60.0	23.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Ihubacter	0.0	4.0	0.0	113.0	25.0	0.0	0.0	0.0	0.0
